ticker,date,period,form_type,revenue,cost_of_revenue,gross_profit,operating_income,net_income,research_and_development,selling_general_admin,total_assets,current_assets,cash_and_equivalents,accounts_receivable,inventory,property_plant_equipment,total_liabilities,current_liabilities,long_term_debt,shareholders_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,capital_expenditures,shares_outstanding,weighted_average_shares,days_sales_outstanding,inventory_turnover,receivables_turnover,debt_to_ebitda
AAPL,2025-06-28,2025 Q2,10-Q,313695000000,166835000000,146860000000,100623000000,84544000000,25684000000,20553000000,331495000000,122491000000,36269000000,27557000000,5925000000,48508000000,265665000000,141120000000,82430000000,65830000000,81754000000,17782000000,-93210000000,9473000000,14856722000,14992898000,32.063963403943326,28.157805907172996,11.38349602641797,2.6402015443785216
AAPL,2025-03-29,2025 Q1,10-Q,219659000000,116517000000,103142000000,72421000000,61110000000,16818000000,13903000000,331233000000,118674000000,28162000000,26136000000,6269000000,46876000000,264437000000,144571000000,78566000000,66796000000,53887000000,12709000000,-68377000000,6011000000,14939315000,15037903000,43.42931543893034,18.58621789759132,8.40446127946128,3.651385647809337
AAPL,2024-12-28,2024 Q4,10-Q,124300000000,66025000000,58275000000,42832000000,36330000000,8268000000,7175000000,344085000000,133240000000,30299000000,29639000000,6911000000,46069000000,277327000000,144365000000,83956000000,66758000000,29935000000,9792000000,-39371000000,2940000000,15040731000,15081724000,87.0332662912309,9.553610186658949,4.193798711157596,6.474761860291371
AAPL,2024-09-28,2024 FY,10-K,391035000000,210352000000,180683000000,123216000000,93736000000,31370000000,26097000000,364980000000,152987000000,29943000000,33410000000,7286000000,45680000000,308030000000,176392000000,85750000000,56950000000,118254000000,2935000000,-121983000000,9447000000,15116786000,15343783000,31.185571624023428,28.870710952511665,11.704130499850343,2.499918841708869
AAPL,2024-09-28,2024 Q3,10-Q,94930000000,51051000000,43879000000,29591000000,14736000000,7765000000,6523000000,364980000000,152987000000,29943000000,33410000000,7286000000,45680000000,308030000000,176392000000,85750000000,56950000000,26811000000,1445000000,-24948000000,2908000000,15116786000,15116786000,128.45939113030653,7.0067252264617075,2.841364860820114,10.409583995133655
AAPL,2024-06-29,2024 Q2,10-Q,296105000000,159301000000,136804000000,93625000000,79000000000,23605000000,19574000000,331612000000,125435000000,25565000000,22795000000,6165000000,44502000000,264904000000,131624000000,86196000000,66708000000,91443000000,1490000000,-97035000000,6539000000,15222259000,15401047000,28.09873186876277,25.839578264395783,12.989910067997368,2.829415220293725
AAPL,2024-03-30,2024 Q1,10-Q,210328000000,113202000000,97126000000,68273000000,57552000000,15599000000,13254000000,337411000000,128416000000,32695000000,21837000000,6232000000,43546000000,263217000000,123822000000,91831000000,74194000000,62585000000,1617000000,-61018000000,4388000000,15337686000,15457810000,37.89559640181051,18.164634146341463,9.63172596968448,3.8553600984283682
AAPL,2023-12-30,2023 Q4,10-Q,119575000000,64720000000,54855000000,40373000000,33916000000,7696000000,6786000000,353514000000,143692000000,40760000000,23194000000,6511000000,43666000000,279414000000,133973000000,95088000000,74100000000,39895000000,1927000000,-30585000000,2392000000,15460223000,15509763000,70.79916370478779,9.940101366917524,5.155428127964129,6.920813414906002
